rich,富人,1.155547
gym,健身房,1.0613999
lease,租金,1.1405382
box,箱子,1.0951855
availability,可用性,1.2143537
no,禁止,1.2337958
cleaning,清理,1.0367268
prefer,比较,1.2465783
due,由于,1.0850847
l,i,v,e
house,房子,1.0641749
bedroom,卧室,1.0997171
couple,情侣,1.2474089
utility,设施,1.2503614
share,公共,1.2542555
house,房子,1.0641749
preferred,偏爱,1.2071822
recycle,回收,1.0296569
baby,儿童,1.2456369
a,一,1.1376004
three,三,0.9556877
b,u,s
blender,攪拌機,1.1923507
email,电子,1.3440005
clean,干净,1.077489
clean,干净,1.077489
reliable,可靠,1.0413822
family,家庭,1.0328625
clean,干净,1.077489
sale,出售,0.8871971
brother,兄弟,1.0394001
clean,干净,1.077489
paper,文章,1.1698321
hello,你,1.067104
l,e,a,r,n,e,r
clean,干净,1.077489
relocate,搬家,1.1988395
condition,状态,1.1865678
fan,風扇,1.2227175
front,前面,1.1132692
tv,电视,1.063202
cable,线,1.2633367
l,i,n,k
inspection,检查,1.2474875
ask,需要,1.1952955
party,聚会,1.3064159
king,超大,1.3248905
clean,干净,1.077489
car,汽车,1.1144996
room,房,1.0432384
modem,调制,1.3200005
smooth,平稳,1.1845611
standard,标准,1.0171905
near,近,1.2083926
thx,谢谢,1.2603543
w,o,r,d
baby,婴儿,1.0714719
report,报告,1.2005961
size,大小,0.95170474
case,外壳,1.3721868
inspection,检查,1.2474875
b,r,e,a,k
centre,最,1.2205715
pick,拿,1.1547723
message,短信,1.1090786
mic,麥克風,1.1737648
sold,已,1.2970494
integrated,集成,1.2120733
code,代码,1.1872172
update,更新,1.0018517
condition,状态,1.1865678
available,有效,1.2064179
standard,标准,1.0171905
clean,干净,1.077489
condo,公寓,1.0858814
party,聚会,1.3064159
update,更新,1.0018517
available,有效,1.2064179
free,免费,1.1246243
free,免费,1.1246243
street,提供,1.3398691
house,大,1.1962649
email,电子,1.3440005
b,u,s
house,住宅,1.1249727
usd,美,1.2634249
pet,宠物,1.089637
email,电子,1.3440005
email,电子,1.3440005
house,住宅,1.1249727
living,客厅,1.3569654
house,住宅,1.1249727
master,硕士,1.3179051
security,保證金,1.3955959
shuttle,摆渡,1.2868385
living,客厅,1.3569654
living,客厅,1.3569654
full,完全,1.1955051
all,全,1.1028119
room,房间,1.0387402
update,更新,1.0018517
lease,合同,1.1488197
full,完整,1.1433507
leasing,负责,1.3441447
apartments,公寓,1.0346236
doorman,門衛,1.162084
house,住宅,1.1249727
lease,合同,1.1488197
full,完整,1.1433507
studio,工作室,1.0186566
lease,合同,1.1488197
nice,好,1.0784843
or,或者,0.9816836
attached,附属,1.2636079
panel,面板,1.1730161
attached,附属,1.2636079
all,全,1.1028119
m,a,i,n
to,去,1.0376421
shuttle,摆渡,1.2868385
single,好的,1.2252053
rich,富人,1.155547
summer,暑假,1.1247475
apt,公寓,1.3667322
manager,物,1.3606219
available,还是,1.335855
share,共,1.1676562
young,年轻,1.1139424
manager,经理,1.1479505
nice,好,1.0784843
bedroom,卧室,1.0997171
nice,好,1.0784843
b,l,o,c,k
view,风景,1.3214157
free,免费,1.1246243
bedding,床上,1.2270098
lobby,大厅,1.1892827
playground,操场,1.2321558
sorry,对不起,1.2805848
text,短信,1.3056425
house,独,1.2511871
b,u,s
security,保證金,1.3955959
prefer,傾向於,1.2004176
doorman,門衛,1.162084
floor,平面圖,1.2593218
traffic,交通,1.1070974
off,露天,1.330873
text,短信,1.3056425
share,共享,1.0411538
lease,合同,1.1488197
apartment,公寓,0.9510278
still,依旧,1.133869
floor,平面圖,1.2593218
full,完整,1.1433507
gym,體育館,1.1454474
popular,受,1.2142171
preferred,比较,1.2655581
share,共享,1.0411538
social,社会,1.0834107
barbecue,烧烤,1.061568
available,有效,1.2064179
studio,工作室,1.0186566
party,聚会,1.3064159
house,独,1.2511871
party,聚会,1.3064159
apartment,公寓,0.9510278
party,聚会,1.3064159
drive,车道,1.3289229
trees,位于,1.4745872
appliances,器具,1.1516523
still,依旧,1.133869
fireplace,壁炉,1.1204144
apartment,公寓,0.9510278
apartment,公寓,0.9510278
coupon,一,1.2602624
master,硕士,1.3179051
apartment,公寓,0.9510278
king,超,1.2331209
master,硕士,1.3179051
email,电子,1.3440005
pets,宠物,1.0602074
bathroom,浴室,0.9364716
one,单,1.1225473
bar,酒吧,1.1156493
usd,美,1.2634249
queen,有,1.2551916
b,u,s
check,支票,1.2106572
maintenance,维修,1.1727293
town,联,1.276605
one,单,1.1225473
house,独,1.2511871
bar,酒吧,1.1156493
nice,好,1.0784843
bar,酒吧,1.1156493
management,物业,1.2936909
apartment,公寓,0.9510278
house,独,1.2511871
prefer,比较,1.2465783
apartment,公寓,0.9510278
house,独,1.2511871
house,独,1.2511871
floor,平面圖,1.2593218
update,更新,1.0018517
single,单独,1.1717404
share,共享,1.0411538
share,共享,1.0411538
house,位于,1.3845739
available,有效,1.2064179
shuttle,摆渡,1.2868385
drive,车道,1.3289229
single,单独,1.1717404
lease,合同,1.1488197
apartment,公寓,0.9510278
all,包括,1.0980297
manager,经理,1.1479505
nice,好,1.0784843
email,电子,1.3440005
apartment,公寓,0.9510278
studio,工作室,1.0186566
studio,工作室,1.0186566
garage,车库,1.1546022
house,独,1.2511871
living,客厅,1.3569654
conditions,情况,1.1799043
bathroom,浴室,0.9364716
nice,好,1.0784843
have,娱乐,1.4379848
f,e,m,a,l,e
prefer,更加,1.2218043
month,月,1.2447846
lease,合同,1.1488197
utility,所有,1.2198255
trash,垃圾,0.9621185
center,中心,0.9703886
summer,暑,1.171685
lease,合同,1.1488197
apartment,公寓,0.9510278
still,依旧,1.133869
garage,车库,1.1546022
house,独,1.2511871
security,保證金,1.3955959
apartment,公寓,0.9510278
important,重要,0.8680547
king,超大,1.3248905
apartment,公寓,0.9510278
hard,非,1.1588833
nice,人,1.2487124
shuttle,摆渡,1.2868385
house,独,1.2511871
party,聚会,1.3064159
b,u,s
bedrooms,卧室,1.1074584
bedroom,每個,1.2989547
outdoor,室外,1.061238
w,a,l,k,-,i,n
parking,露天,1.1867613
study,出国,1.3662457
laundry,洗衣機,1.1496015
tower,塔,1.1391468
studio,工作室,1.0186566
apt,公寓,1.3667322
utility,不含,1.2817025
centre,中间,1.3300891
back,后,1.1371572
fee,费用,1.1883787
email,电子,1.3440005
restaurant,餐厅,1.0912412
b,l,o,c,k
dining,餐厅,1.1175175
free,免费,1.1246243
lease,合同,1.1488197
master,硕士,1.3179051
floor,平面圖,1.2593218
permit,許可證,1.0536186
permit,許可證,1.0536186
share,分享,1.0132569
booking,租借,1.3207601
area,地区,1.206627
offer,邀请,1.2315271
nice,好,1.0784843
att,家庭,1.3783684
flyer,传单,1.3513157
permit,許可證,1.0536186
profile,个人,1.3165089
remain,保持,1.0741032
use,善用,1.1107414
email,电子,1.3440005
toilet,对不起,1.4388388
luggage,行李,1.0132967
baggage,行李,1.0348665
downtown,市区,1.2394135
